DATAFLOW,LAST UPDATE,freq,unit,NUTS2,TIME_PERIOD,POP_DICHTE,OBS_FLAG
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2016,506.7,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2017,505.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2018,508.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2019,512.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2008,506.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2009,510.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2010,516.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2011,520.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2012,523.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2013,526.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2014,528.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2015,532.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2016,536.0,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2017,536.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2018,540.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE24,2019,544.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2008,368.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2009,369.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2010,371.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2011,374.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2012,375.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2013,376.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2014,377.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2015,378.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2016,379.5,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2017,377.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2018,379.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE25,2019,380.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2008,343.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2009,346.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2010,351.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2011,353.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE31,2012,355.6,
