DATAFLOW,LAST UPDATE,freq,unit,LAND,TIME_PERIOD,EMISSIONEN,OBS_FLAG
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2012,102.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2013,101.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2014,103.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2015,101.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2016,90.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2017,98.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2018,96.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2019,79.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2020,65.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2001,99.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2002,97.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2003,98.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2004,97.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2005,99.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2006,97.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2007,100.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2008,96.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2009,95.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2010,94.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2011,96.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2012,93.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2013,93.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2014,89.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2015,85.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2016,81.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2017,83.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2018,81.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2019,75.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EL,2020,72.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2001,97.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2002,101.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2003,99.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2004,99.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2005,102.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2006,99.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2007,100.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2008,95.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2009,92.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2010,87.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2011,88.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2012,87.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2013,84.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2014,86.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2015,88.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2016,84.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2017,84.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2018,83.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2019,79.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,ES,2020,76.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2001,99.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EU27_2020,2002,99.2,
